weekend_id,symbol,fri_close,pre_open,open_0930,print_0935,print_0945,print_1000,close_1600,dev_D_pct,snap_open_pct,ret_0935_pct,ret_0945_pct,ret_1000_pct,ret_rth_day_pct,reverses_at_open,reverses_at_0935,reverses_at_1000
2026-08-21_2026-08-24,RNVDAUSDT,214.75,215.21,215.435,213.205,209.92,209.65,208.45,0.21420256111758226,0.1045490451187186,-0.9316481576134917,-2.4580642163468336,-2.5835230704892904,-3.2422772529997506,False,True,True
2026-08-21_2026-08-24,RTSLAUSDT,362.67,361.46,362.11,355.26,352.51,353.95,348.95,-0.33363663936913346,0.17982626016710954,-1.7152658662092595,-2.476069274608529,-2.0776849443921845,-3.634254784457768,True,False,False
2026-08-21_2026-08-24,RSPYUSDT,765.68,764.37,764.74,763.49,762.19,763.38,763.46,-0.17108975028731918,0.04840587673508962,-0.11512749061318411,-0.2852021926553829,-0.129518426939834,-0.1673771477887874,True,False,False
2026-08-21_2026-08-24,RQQQUSDT,713.4,709.52,709.65,706.72,703.455,704.45,706.393,-0.5438744042612834,0.018322246025481374,-0.3946329913180678,-0.8548032472657489,-0.7145675949937896,-0.45895864158387206,True,False,False
2026-08-21_2026-08-24,RAAPLUSDT,309.27,311.25,311.46,310.54,311.1,311.825,310.391,0.6402172858667243,0.06746987951806571,-0.22811244979919024,-0.048192771084330045,0.18473895582328953,-0.34322224362677717,False,True,False
2026-08-28_2026-08-31,RNVDAUSDT,217.535,218.81,218.94,217.13,218.02,218.835,220.86,0.586112579584897,0.059412275490149186,-0.7677894063342657,-0.36104382797860796,0.011425437594262457,0.876952589750624,False,True,False
2026-08-28_2026-08-31,RTSLAUSDT,348.74,347.49,347.83,352.48,355.578,360.149,367.94,-0.3584332167230601,0.09784454228897953,1.4360125471236609,2.327548994215651,3.6429825318714184,5.781559957450483,True,True,True
2026-08-28_2026-08-31,RSPYUSDT,769.36,767.32,767.34,766.36,765.82,766.21,766.79,-0.2651554538837428,0.0026064744826124445,-0.12511077516551586,-0.19548558619611112,-0.14465933378512402,-0.07167618005057316,True,False,False
2026-08-28_2026-08-31,RQQQUSDT,716.43,715.17,714.96,715.8,714.461,715.261,716.71,-0.17587203215945604,-0.02936364780400782,0.08809094341205524,-0.09913726806213158,0.01272424738174255,0.2447689381224124,False,True,True
2026-08-28_2026-08-31,RAAPLUSDT,319.59,319.51,319.7,318.1,317.365,317.23,317.14,-0.02503207234268409,0.05946605740039364,-0.4413007417608113,-0.671340490125499,-0.7135926888047237,-0.800750703784799,True,False,False
2026-09-04_2026-09-08,RNVDAUSDT,230.36,233.14,233.21,231.84,229.765,229.5712,225.73,1.206806737280766,0.03002487775586412,-0.5576048726087256,-1.4476280346572876,-1.5307540533584894,-3.207409630804862,False,True,True
2026-09-04_2026-09-08,RTSLAUSDT,354.08,357.16,357.27,361.365,357.67,360.175,368.16,0.8698599186624608,0.030798521670947696,1.1773434875125948,0.14279314592899284,0.8441594803449396,3.0481148711058985,False,False,False
2026-09-04_2026-09-08,RSPYUSDT,770.19,769.06,769.15,768.82,767.29,767.47,765.96,-0.1467170438463378,0.01170259797675498,-0.03120692793798864,-0.23015109354276414,-0.2067458975892542,-0.41474354807253994,True,False,False
2026-09-04_2026-09-08,RQQQUSDT,718.96,720.9,720.97,719.84,716.72,717.47,718.36,0.2698342049627157,0.009710084616458597,-0.1470384241919747,-0.5798307670966778,-0.4757941462061243,-0.36201228899954413,False,True,True
2026-09-04_2026-09-08,RAAPLUSDT,319.97,317.19,317.12,317.2699,317.5183,316.9,316.22,-0.8688314529487231,-0.022068791576024836,0.02518994924178227,0.10350263249157064,-0.0914278508149754,-0.28380423814328243,False,True,False
2026-09-11_2026-09-14,RNVDAUSDT,218.29,211.33,211.08,209.68,209.86,210.79,210.96,-3.1884190755417015,-0.11829839587375193,-0.7807694127667656,-0.6955945677376608,-0.2555245350873139,-0.0568504832291096,False,False,False
2026-09-11_2026-09-14,RTSLAUSDT,365.44,359.72,359.95,365.37,361.815,360.21,358.97,-1.5652364273204822,0.06393861892582045,1.5706660736128035,0.5823974202157151,0.13621705771154013,-0.2722600361161165,True,True,True
2026-09-11_2026-09-14,RSPYUSDT,764.29,759.04,759.07,758.685,759.3901,760.0,760.88,-0.6869120360072748,0.0039523608769085165,-0.04676960370995181,0.04612405143338923,0.12647554806071307,0.23844968184751672,True,False,True
2026-09-11_2026-09-14,RQQQUSDT,714.88,703.4,703.29,703.34,704.485,705.785,709.18,-1.6058639212175496,-0.015638328120559233,-0.008529997156659858,0.1542507819164112,0.3390673869775364,0.8374923573490292,False,False,True
2026-09-11_2026-09-14,RAAPLUSDT,332.27,334.94,334.83,332.7567,332.5,333.935,333.08,0.8035633671411851,-0.032841702991584655,-0.6518480921956094,-0.7284886845405141,-0.3000537409685303,-0.5226532867425261,True,True,True
